Muzzafarnagar, 44.4457816377
Pratapgarh, 44.1998837209
Jiaganj(Lalbagh), 43.6088390501
Ramkrishanpur(Howrah), 43.2298917569
Malur, 43
Charra, 42.9718171926
Bindki, 42.2380577428
Pehowa, 41.4854242204
Barabanki, 41.45867266
Bathinda, 40.7809256055
Sheoraphuly, 40.5476013848
Junnar, 40.3345646438
Shajapur(F&amp;V), 39.9442018779
Dhanbad, 39.8766239892
Chandrapur(Ganjwad), 39.8677943166
Patiala, 39.2539350181
Begusarai, 39.2070938215
Tiphra, 38.8953313253
Raibareilly, 38.7236930456
Ramgarh, 38.1378756477
Rampurhat, 37.7305211726
Jalore, 37.7150127877
Jafarganj, 37.7124688279
Baraut, 37.6169148303
Vadhvan, 37.2965209215
Chhindwara, 37.0022710068
Ch. Dadri, 36.4605494505
Ambala City, 35.6587688172
Bethuadahari, 35.6266607222
Barnala, 35.3155026672
Anandnagar, 35.2322274882
Ballabhgarh, 35.1604104478
Mysore (Bandipalya), 35
Naugarh, 34.9042222222
Thanesar, 33.0890061266
Jalgaon, 32.9393939394
Dhing, 32.7816272966
Asansol, 32.4748608534
Bhiwani, 32.3142578125
Bhagalpur, 32.0645864662
Baxirhat, 31.4362872422
Anand, 30.863006135
Sikandraraau, 30.862716763
Hissar, 29.7300181159
Golaghat, 29.3857535545
Haridwar Union, 29.0700968523
Holenarsipura, 29
Garbeta(Medinipur), 28.9646706587
Barwala, 28.7681548084
Yusufpur, 28.579954955
Jind, 28.5107692308
Diamond Harbour(South 24-pgs), 28.4292114695
Phagwara, 28.3432074221
Vessue, 28.2799479167
Gadhwah, 28.2241478914
Shrirampur, 27.5808823529
Rampur, 27.5066825776
Gauripur, 27.5064139942
Satara, 27.4941838649
Malerkotla, 27.3470154578
Ahmednagar, 27.1104688504
Hyderabad (F&amp;V), 26.7345285935
Rewari, 26.7142973287
Biharsharif, 26.6862242563
Chomu(F&amp;V), 26.6673304158
Lanka, 26.2057052298
Jhajjar, 26.093161435
Barwala(Hisar), 25.4371259843
Lalganj, 25.253470437
Gharaunda, 25.246570223
Sasaram, 25
Hailakandi, 24.9497363796
Rampura Phul, 24.7848396501
Thiruvananthapuram, 24.6773159145
Dahod(Veg. Market), 24.6756423499
Deoghar, 24.4991648822
Balarampur, 24.425483871
Ferozepur Cantt., 24.3429371981
Bangarmau, 24.3022916667
Madhupur, 24.2750886076
Fatehabad, 24.1777463884
Sirsa, 23.9654352442
Hardoi, 23.8196455424
F.G.Churian, 23.6093359375
Shamli, 23.5490750257
Bongiagaon, 23.4470498084
Kasganj, 23.4266159696
Chandoli, 23.4131868132
Tinsukia, 23.2265129683
Botad, 23.0746091015
Baruipur(Canning), 23.0574046434
Nabha, 22.8306476938
Gajol, 22.4616314199
Diamond Harbour, 22.379714577
Bihta, 22.3726586103
Unnao, 22.3449976065
Kaithal, 22.3011662818
Sonepat, 22.2054557464
Chorichora, 22.0669954476
Bokaro (Chas), 22
Coochbehar, 21.6609735509
Goniana, 21.0182307692
Kolaghat, 21
Midnapore Sadar, 20.9738863287
Dinhata, 20.9377952756
Muktsar, 20.9075
Shahganj, 20.6658102767
Khurja, 20.6176470588
Kharar, 20.5072914622
Gumla, 20.2020440252
Devband, 20.1976635514
Vasai, 20.1402439024
Bahadurgarh, 20.0864253394
Shimla, 20.0306
K.R.Nagar, 20
Udhampur, 19.8578467742
Islampur, 19.6024727273
Meham, 19.5950071327
Mekhliganj, 19.4840827338
Jalalabad, 19.1788250484
Chittorgarh, 19.0025204274
Vikasnagar, 18.8477644079
Balurghat, 18.6323644494
Naraingarh, 18.1993962941
Jiaganj, 18.1647928994
Morinda, 17.7895320197
Ranaghat, 17.7263930348
Sikanderabad, 17.6778290993
Karad, 17.5883842144
Gangoh, 17.5698080279
Chhapra, 17.4833333333
Thrissur, 17.1723290598
Anoop Shahar, 16.7947560976
Partaval, 16.2722760291
Gangarampur, 16.2386394558
Morena(F&amp;V), 16.0637706856
Sagar, 16.0458986175
Shahabad(New Mandi), 15.907957958
Vijayawada, 15.8902422146
Ratia, 15.8356392835
Abohar, 15.7018256976
Karimganj, 15.6748538012
Fazilka, 15.5838067227
Rajpura, 15.5536047575
Sardhana, 15.4858387097
Palghar, 15.1701771654
Bhuj, 15.1367781155
Atarra, 15.0867237687
Mohindergarh, 15.0073190349
Divai, 14.8472058245
Indus, 14.7773219373
Sehjanwa, 14.7489766082
Baberu, 14.6943521595
Faridkot, 14.5823189189
Radaur, 14.5069950036
Saraikela, 14.3668351384
Kharupetia, 14.1406273338
Dewas, 14.0689910979
Babain, 14.041433892
Doharighat, 13.8677710843
Sohna, 13.8411013567
Sunam, 13.8364578005
Jamtara, 13.7473777254
Jagraon, 13.6702640264
Lohian Khas, 13.6647355769
Mathabhanga, 13.5313485114
Samana, 13.3882689557
Lohardaga, 13.321221865
Chaibasa, 13.2958333333
Kalyani, 13.2631161972
Khatra, 13.2561354803
Dera Bassi, 13.2152133676
Hazaribagh, 13.201843772
Anand(Veg,Yard,Anand), 12.9317105263
Kotkapura, 12.8999134199
Khandwa(F&amp;V), 12.7525545171
Bayana, 12.7310513447
Haatpipliya, 12.60936875
Jagadhri, 12.4532977528
Haldibari, 12.3519475921
Nawanshahar, 12.0086921529
Chakulia, 12
Alipurduar, 11.9427005481
Gohana, 11.8573056995
Lehra Gaga, 11.7462112322
Malout, 11.6817971759
Iamailabad, 11.672587007
Gulavati, 11.6378737542
Sagar(F&amp;V), 11.4080882353
Bara Bazar (Posta Bazar), 11.3108265425
Gangarampur(Dakshin Dinajpur), 11.3024778761
Kathua, 11.2482591876
Hodal, 11.0284542587
Chikkamagalore, 11
Khadur Sahib(Fetehabad), 10.978453159
Anandpur Sahib, 10.7783072546
Ramnagar, 10.7308333333
Uluberia, 10.6082352941
Batala, 10.5577802078
Madlauda, 10.5291196388
Nawan Shahar(Subzi Mandi), 10.5097141001
Kasipur, 10.4967213115
Narnaul, 10.4478654592
Jalpaiguri Sadar, 10.3774757282
Amroha, 10.342551675
Khateema, 10.3269675926
Kurali, 10.1294448073
Manjeri, 10.1003696237
Banga, 9.86354976506
Siyana, 9.72537154989
Dholka, 9.43347406514
Goreswar, 9.36925287356
Bijnaur, 9.3512195122
Shahabad, 9.26514756944
Toofanganj, 9.00481283422
